work_id,added_at,offer_url,position_name,company_name,company_location,type_of_contract,work_schedule,work_modes,employment_level,immediate_employment,ukrainian_without_polish_language,vacancies
17127,2022-12-02 13:48:58.331557+01,"https://www.pracuj.pl/praca/embedded-developer-warszawa,oferta,1002242216?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Embedded Developer,SiDLY Sp. z o. o.,Warszawa,"Umowa o pracę, Kontrakt B2B",Pełny etat,praca stacjonarna,Specjalista (Mid / Regular),,,
17128,2022-12-02 13:48:58.334272+01,"https://www.pracuj.pl/praca/recruiter-warszawa-krakowiakow-36,oferta,1002212885?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Recruiter,QLOC S.A.,"Warszawa, Włochy","Umowa o pracę, Kontrakt B2B",Pełny etat,"praca stacjonarna, praca zdalna",Specjalista (Mid / Regular),,,
17129,2022-12-02 13:48:58.33812+01,"https://www.pracuj.pl/praca/mlodszy-doradca-klienta-praca-w-santander-bank-polska-s-a-warszawa-icchoka-lejba-pereca-1,oferta,1002242206?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Młodszy Doradca Klienta – praca w Santander Bank Polska S.A.,MELLON POLAND Sp. z o.o.,"Warszawa, Wola",Umowa o pracę,Pełny etat,praca hybrydowa,Młodszy specjalista (Junior),,,
17130,2022-12-02 13:48:58.341056+01,"https://www.pracuj.pl/praca/doradca-serwisowy-warszawa,oferta,1002242204?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Doradca Serwisowy,Zoeller Tech Sp. z o.o.,Warszawa,Umowa o pracę,Pełny etat,praca stacjonarna,Specjalista (Mid / Regular),praca od zaraz,,
17131,2022-12-02 13:48:58.344902+01,"https://www.pracuj.pl/praca/wlasciciel-agencji-marketingowej-blonie,oferta,9550827?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Właściciel Agencji Marketingowej,AGENCJAWIRTUALNA.PL,"Białobrzegi, Błonie, Brwinów, Ciechanów, Garwolin, Gostynin, Góra Kalwaria, Grodzisk Mazowiecki, Grójec, Kobyłka, Konstancin-Jeziorna, Kozienice, Legionowo, Łochów, Łomianki, Łosice, Marki, Milanówek, Mińsk Mazowiecki, Mława, Mszczonów, Nasielsk, Nowy Dwór Mazowiecki, Ostrołęka, Ostrów Mazowiecka, Otwock, Ożarów Mazowiecki, Piaseczno, Piastów, Pionki, Płock, Płońsk, Pruszków, Przasnysz, Pułtusk, Radom, Radzymin, Siedlce, Sierpc, Sochaczew, Sokołów Podlaski, Sulejówek, Szydłowiec, Tłuszcz, Warka, Warszawa, Węgrów, Wołomin, Wyszków, Ząbki, Zielonka, Zwoleń, Żuromin, Żyrardów",Umowa o pracę,Pełny etat,"praca stacjonarna, praca zdalna","Kierownik / Koordynator, Menedżer",praca od zaraz,,
17132,2022-12-02 13:48:58.348258+01,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-analizy-sprzedazy-e-commerce-warszawa-domaniewska-48,oferta,1002227591?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Młodszy Specjalista ds. Analizy Sprzedaży E-commerce,SMYK,"Warszawa, Mokotów",Umowa o pracę,Pełny etat,praca stacjonarna,Młodszy specjalista (Junior),,,
17133,2022-12-02 13:48:58.352109+01,"https://www.pracuj.pl/praca/tax-compliance-manager-w-zespole-tax-reporting-and-strategy-warszawa,oferta,1002233227?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Tax Compliance Manager w zespole Tax Reporting and Strategy,PwC,Warszawa,Umowa o pracę,Pełny etat,"praca hybrydowa, praca zdalna",Menedżer,,,
17134,2022-12-02 13:48:58.356891+01,"https://www.pracuj.pl/praca/environmental-compliance-manager-warszawa,oferta,1002209992?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Environmental Compliance Manager,Grafton Recruitment,Warszawa,Umowa o pracę,Pełny etat,praca hybrydowa,Specjalista (Mid / Regular),,,
17135,2022-12-02 13:48:58.359235+01,"https://www.pracuj.pl/praca/specjalista-ds-logistyki-i-obslugi-klienta-warszawa-patriotow-195,oferta,1002212875?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Specjalista ds. Logistyki i Obsługi Klienta,Roshen Europe Sp. z o.o.,"Warszawa, Wawer",Umowa o pracę,Pełny etat,praca stacjonarna,Specjalista (Mid / Regular),,,
17136,2022-12-02 13:48:58.362538+01,"https://www.pracuj.pl/praca/analityk-aktuarialny-warszawa-chlodna-52,oferta,1002233206?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Analityk aktuarialny,PKO Ubezpieczenia,"Warszawa, Wola",Umowa o pracę,Pełny etat,praca hybrydowa,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",,,
17137,2022-12-02 13:48:59.425782+01,"https://www.pracuj.pl/praca/business-analyst-warszawa,oferta,1002209952?s=80c68d28&searchId=5690f500-723f-11ed-b368-3b74af5752b6",Business Analyst,Grafton Recruitment,Warszawa,Umowa o pracę,Pełny etat,praca hybrydowa,Specjalista (Mid / Regular),,,
