offer_url,position_name,company_name,company_location,type-of-contract,work-schedule,work-modes,employment-level,immediate-employment,ukrainian-without-polish-language,vacancies
"https://www.pracuj.pl/praca/analytics-consultant-warszawa,oferta,1001970978?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369",Analytics Consultant,Nielsen Media Research,Warszawa,Umowa o pracę,Pełny etat,praca hybrydowa,Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/senior-analytics-consultant-warszawa,oferta,1001970968?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Senior Analytics Consultant","
Nielsen Media Research
",Warszawa,Umowa o pracę,Pełny etat,praca hybrydowa,"Specjalista (Mid / Regular), Starszy specjalista (Senior)",,,
"https://www.pracuj.pl/praca/successfactors-administrator-lodz,oferta,1002005551?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
SuccessFactors Administrator","
GFT Poland
","Łódź, Śródmieście",Umowa o pracę,Pełny etat,praca zdalna,Specjalista (Mid / Regular),praca od zaraz,,
"https://www.pracuj.pl/praca/master-data-support-wroclaw,oferta,1001970541?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Master Data Support","
Devire
",Wrocław,"Umowa o pracę, Umowa zlecenie",Pełny etat,praca zdalna,Młodszy specjalista (Junior),,,
"https://www.pracuj.pl/praca/key-account-manager-warszawa,oferta,1002005189?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Key Account Manager","
Adecco Poland Sp. z o.o.
",Warszawa,Umowa o pracę,Pełny etat,"praca stacjonarna, praca hybrydowa",Kierownik / Koordynator,praca od zaraz,,
"https://www.pracuj.pl/praca/senior-data-extraction-expert-with-russian-french-german-spanish-etl-warszawa,oferta,1002005177?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Senior Data Extraction Expert with Russian/French/German/Spanish (ETL)","
Spring Professional Poland
",Warszawa,Umowa o pracę,Pełny etat,praca stacjonarna,"Starszy specjalista (Senior), Ekspert",praca od zaraz,Робота для іноземців,szukamy wielu kandydatów / wakaty: 2
"https://www.pracuj.pl/praca/marketing-specialist-warszawa,oferta,1002004285?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Marketing Specialist","
ROBOTEC.AI sp. z o.o.
",Warszawa,"Umowa o pracę, Umowa zlecenie, Kontrakt B2B",Pełny etat,praca hybrydowa,Specjalista (Mid / Regular),praca od zaraz,,
"https://www.pracuj.pl/praca/digital-data-analyst-warszawa,oferta,1002004205?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Digital Data Analyst","
Devire
",Warszawa,Umowa o pracę,Pełny etat,,Ekspert,,,
"https://www.pracuj.pl/praca/web-data-specialist-e-commerce-warszawa,oferta,1002004203?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Web Data Specialist (E-commerce)","
Devire
",Warszawa,Umowa o pracę,Pełny etat,,Specjalista (Mid / Regular),,,
"https://www.pracuj.pl/praca/specjalista-ds-kadr-i-plac-warszawa,oferta,1002004202?s=6e6ce0a6&searchId=e5dcca80-213c-11ed-9b35-27603464b369","
Specjalista ds. Kadr i Płac","
Devire
",Warszawa,Umowa o pracę,Pełny etat,,Specjalista (Mid / Regular),,,
